variable_name,mapped_system,mapped_id,mapped_label,n_uses,seen_in
count,Darwin Core,http://rs.tdwg.org/dwc/terms/individualCount,individualCount,3,knb-lter-hbr.126;knb-lter-hbr.178;knb-lter-hbr.81
Comments,Darwin Core,http://rs.tdwg.org/dwc/terms/eventRemarks,eventRemarks,2,knb-lter-hbr.178;knb-lter-pie.404
Distance,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00001710,water sample volume,2,knb-lter-hbr.178;knb-lter-pie.404
Sex,Darwin Core,http://rs.tdwg.org/dwc/terms/sex,sex,2,knb-lter-hbr.178;knb-lter-sgs.137
BottleName,Darwin Core,http://rs.tdwg.org/dwc/terms/materialSampleID,materialSampleID,1,knb-lter-pie.404
CARDBOARD,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00002372,trap identifier,1,knb-lter-hbr.126
DIST,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00001710,distance,1,knb-lter-pie.405
Detection.Method,Darwin Core,http://rs.tdwg.org/dwc/terms/samplingProtocol,samplingProtocol,1,knb-lter-hbr.178
ELEV_BAND,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00001567,elevation,1,knb-lter-hbr.126
GEARNAME,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00001591,type of trap,1,knb-lter-ntl.356
GEARNAME,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00002527,data collection equipment,1,knb-lter-ntl.357
ID,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00001217,Tag Number,1,knb-lter-vcr.67
LAT,Darwin Core,http://rs.tdwg.org/dwc/terms/decimalLatitude,decimalLatitude,1,knb-lter-pie.405
LON,Darwin Core,http://rs.tdwg.org/dwc/terms/decimalLongitude,decimalLongitude,1,knb-lter-pie.405
Latitude,Darwin Core,http://rs.tdwg.org/dwc/terms/decimalLatitude,decimalLatitude,1,knb-lter-pie.404
Longitude,Darwin Core,http://rs.tdwg.org/dwc/terms/decimalLongitude,decimalLongitude,1,knb-lter-pie.404
Minute,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00002238,minutes elapsed,1,knb-lter-hbr.178
NUMBER COUNTED,Darwin Core,http://rs.tdwg.org/dwc/terms/individualCount,individualCount,1,knb-lter-pie.405
NUMBERperTOW,Darwin Core,http://rs.tdwg.org/dwc/terms/individualCount,individualCount,1,knb-lter-pie.405
Night,The Ecosystem Ontology,http://purl.dataone.org/odo/ECSO_00002123,days elapsed,1,knb-lter-sgs.137
NumberIndividuals,Darwin Core,http://rs.tdwg.org/dwc/terms/individualCount,individualCount,1,knb-lter-hbr.82
Observer,Darwin Core,http://rs.tdwg.org/dwc/terms/recordedBy,recordedBy,1,knb-lter-hbr.178
